City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rawson,-43.3002,-65.1023,56.61,42,1,29.06,AR,2021-10-30 17:18:31
1,Qaanaaq,77.484,-69.3632,1.71,54,0,8.55,GL,2021-10-30 17:18:32
2,Mehamn,71.0357,27.8492,36.55,77,82,4.0,NO,2021-10-30 17:18:32
3,Mataura,-46.1927,168.8643,47.8,67,12,5.73,NZ,2021-10-30 17:18:32
4,Punta Arenas,-53.15,-70.9167,51.91,43,0,18.41,CL,2021-10-30 17:19:09
5,Rikitea,-23.1203,-134.9692,74.89,84,73,20.69,PF,2021-10-30 17:19:09
6,Tasiilaq,65.6145,-37.6368,26.76,64,18,6.78,GL,2021-10-30 17:19:10
7,Jamestown,42.097,-79.2353,52.95,95,90,3.0,US,2021-10-30 17:19:10
8,Xingyi,24.1877,102.817,56.55,99,81,3.44,CN,2021-10-30 17:19:10
9,Baraboo,43.4711,-89.7443,57.34,75,1,1.01,US,2021-10-30 17:19:05
10,Upernavik,72.7868,-56.1549,25.63,56,100,7.25,GL,2021-10-30 17:19:11
11,Hilo,19.7297,-155.09,82.27,68,1,5.75,US,2021-10-30 17:19:11
12,Ushuaia,-54.8,-68.3,49.66,53,0,13.8,AR,2021-10-30 17:19:11
13,Cockburn Town,21.4612,-71.1419,84.16,65,40,12.66,TC,2021-10-30 17:19:12
14,Warri,5.5167,5.75,81.16,84,100,4.83,NG,2021-10-30 17:19:12
15,Cidreira,-30.1811,-50.2056,71.65,77,68,21.85,BR,2021-10-30 17:19:12
16,Cape Town,-33.9258,18.4232,67.12,67,0,4.0,ZA,2021-10-30 17:16:24
17,Ekibastuz,51.6667,75.3667,37.56,66,100,12.57,KZ,2021-10-30 17:19:13
18,Vallenar,-28.5708,-70.7581,84.13,25,0,8.97,CL,2021-10-30 17:15:18
19,Dikson,73.5069,80.5464,8.56,91,100,17.4,RU,2021-10-30 17:19:13
20,Aksarka,66.5606,67.7975,-0.74,93,43,6.89,RU,2021-10-30 17:19:14
21,Fairbanks,64.8378,-147.7164,28.36,86,20,9.22,US,2021-10-30 17:15:33
22,Kapaa,22.0752,-159.319,71.58,99,1,8.05,US,2021-10-30 17:19:14
23,Norman Wells,65.282,-126.8329,15.84,92,75,2.3,CA,2021-10-30 17:19:14
24,New Norfolk,-42.7826,147.0587,51.93,61,66,5.01,AU,2021-10-30 17:19:15
25,Arraial Do Cabo,-22.9661,-42.0278,75.06,73,90,8.05,BR,2021-10-30 17:18:23
26,Mansa,29.9833,75.3833,69.73,30,0,4.81,IN,2021-10-30 17:19:16
27,Poyarkovo,49.6,128.6833,25.95,50,50,7.38,RU,2021-10-30 17:19:16
28,Kamina,-8.7386,24.9906,67.15,92,83,6.78,CD,2021-10-30 17:19:16
29,Barrow,71.2906,-156.7887,15.82,79,90,4.61,US,2021-10-30 17:19:17
30,Saint George,37.1041,-113.5841,73.54,47,1,0.0,US,2021-10-30 17:15:43
31,Kodiak,57.79,-152.4072,45.91,93,90,26.46,US,2021-10-30 17:17:58
32,Lebu,-37.6167,-73.65,55.24,68,91,19.22,CL,2021-10-30 17:16:07
33,Souillac,-20.5167,57.5167,73.78,78,40,4.61,MU,2021-10-30 17:19:17
34,Guadalupe Y Calvo,26.1,-106.9667,64.38,35,0,5.77,MX,2021-10-30 17:19:18
35,Bluff,-46.6,168.3333,52.88,64,19,18.88,NZ,2021-10-30 17:19:18
36,Port Elizabeth,-33.918,25.5701,62.1,94,0,11.5,ZA,2021-10-30 17:19:19
37,Makokou,0.5738,12.8642,73.02,95,100,2.01,GA,2021-10-30 17:19:19
38,Butaritari,3.0707,172.7902,81.1,78,95,8.7,KI,2021-10-30 17:19:19
39,Saint-Philippe,-21.3585,55.7679,72.99,81,72,3.89,RE,2021-10-30 17:19:20
40,Hermanus,-34.4187,19.2345,66.9,79,56,11.61,ZA,2021-10-30 17:19:20
41,Sao Filipe,14.8961,-24.4956,80.73,72,93,10.54,CV,2021-10-30 17:19:21
42,Fortuna,40.5982,-124.1573,61.14,76,90,1.99,US,2021-10-30 17:19:21
43,Saint-Francois,46.4154,3.9054,60.24,82,75,9.22,FR,2021-10-30 17:19:21
44,Manokwari,-0.8667,134.0833,78.04,79,78,3.6,ID,2021-10-30 17:19:22
45,Haines Junction,60.7522,-137.5108,35.55,64,100,9.22,CA,2021-10-30 17:20:22
46,Tuktoyaktuk,69.4541,-133.0374,17.6,93,75,6.91,CA,2021-10-30 17:20:22
47,Iqaluit,63.7506,-68.5145,37.13,69,90,20.0,CA,2021-10-30 17:20:23
48,East London,-33.0153,27.9116,63.54,88,0,12.66,ZA,2021-10-30 17:20:23
49,College,64.8569,-147.8028,29.66,85,75,4.61,US,2021-10-30 17:20:23
50,Opelika,32.6454,-85.3783,58.89,80,90,10.36,US,2021-10-30 17:19:40
51,Russell,32.3502,-85.1999,61.12,70,90,10.36,US,2021-10-30 17:20:24
52,Heiligenhafen,54.3667,10.9833,53.58,80,100,17.11,DE,2021-10-30 17:20:24
53,Thompson,55.7435,-97.8558,35.76,80,20,10.36,CA,2021-10-30 17:20:25
54,Namibe,-15.1961,12.1522,68.9,77,77,12.24,AO,2021-10-30 17:20:25
55,Laguna,38.421,-121.4238,67.14,86,20,5.01,US,2021-10-30 17:20:25
56,Yellowknife,62.456,-114.3525,28.42,93,40,7.0,CA,2021-10-30 17:17:36
57,Campo Formoso,-10.5075,-40.3214,90.97,25,3,10.45,BR,2021-10-30 17:20:26
58,Ryotsu,38.0833,138.4333,59.4,69,100,4.65,JP,2021-10-30 17:20:26
59,Qaqortoq,60.7167,-46.0333,32.5,76,44,2.84,GL,2021-10-30 17:20:26
60,Vila Velha,-20.3297,-40.2925,75.15,83,75,12.66,BR,2021-10-30 17:20:27
61,Lewistown,40.5992,-77.5714,56.79,96,90,0.0,US,2021-10-30 17:20:27
62,Rocha,-34.4833,-54.3333,73.83,70,100,11.56,UY,2021-10-30 17:17:27
63,Mar Del Plata,-38.0023,-57.5575,84.22,92,40,18.01,AR,2021-10-30 17:16:05
64,Viedma,-40.8135,-62.9967,60.28,42,80,27.36,AR,2021-10-30 17:19:34
65,Busselton,-33.65,115.3333,46.04,90,55,7.4,AU,2021-10-30 17:20:28
66,Murgab,37.4966,61.9714,57.07,47,40,13.8,TM,2021-10-30 17:20:28
67,Puerto Ayora,-0.7393,-90.3518,78.76,80,78,9.26,EC,2021-10-30 17:20:28
68,Alofi,-19.0595,-169.9187,73.29,83,100,3.44,NU,2021-10-30 17:20:29
69,Werda,-25.2667,23.2833,76.82,15,0,8.63,BW,2021-10-30 17:20:29
70,Ponta Do Sol,32.6667,-17.1,79.0,76,81,9.75,PT,2021-10-30 17:20:29
71,Maroantsetra,-15.4333,49.7333,74.84,85,59,3.94,MG,2021-10-30 17:20:30
72,Carutapera,-1.195,-46.02,85.59,67,34,6.67,BR,2021-10-30 17:20:30
73,Honningsvag,70.9821,25.9704,42.12,62,77,4.65,NO,2021-10-30 17:20:30
74,Pangai,-19.8,-174.35,76.62,70,64,17.18,TO,2021-10-30 17:20:30
75,Nanortalik,60.1432,-45.2371,35.24,73,38,4.74,GL,2021-10-30 17:20:31
76,Zhigansk,66.7697,123.3711,-4.05,98,87,12.62,RU,2021-10-30 17:20:31
77,Vaini,-21.2,-175.2,71.76,94,20,3.44,TO,2021-10-30 17:20:31
78,Santiago Del Estero,-27.7951,-64.2615,97.81,28,0,9.44,AR,2021-10-30 17:20:32
79,Albany,42.6001,-73.9662,57.78,91,99,8.66,US,2021-10-30 17:20:32
80,Tobermory,45.2501,-81.6665,50.31,77,100,15.88,CA,2021-10-30 17:20:33
81,Narsaq,60.9167,-46.05,32.22,69,48,3.42,GL,2021-10-30 17:20:33
82,Agua Verde,22.9,-106.05,86.09,69,0,1.68,MX,2021-10-30 17:20:33
83,Dingle,10.9995,122.6711,75.22,92,82,7.81,PH,2021-10-30 17:20:33
84,Hobart,-42.8794,147.3294,52.27,69,66,8.01,AU,2021-10-30 17:17:03
85,Saint-Georges,12.0564,-61.7485,82.99,66,25,10.67,GD,2021-10-30 17:18:37
86,Lorengau,-2.0226,147.2712,82.11,78,91,6.46,PG,2021-10-30 17:20:34
87,Bredasdorp,-34.5322,20.0403,64.27,79,37,7.49,ZA,2021-10-30 17:20:34
88,Northam,51.0333,-4.2167,54.3,87,57,11.27,GB,2021-10-30 17:20:35
89,Egvekinot,66.3167,-179.1667,-1.73,85,87,10.45,RU,2021-10-30 17:20:35
90,Port Macquarie,-31.4333,152.9167,57.09,94,75,8.05,AU,2021-10-30 17:20:35
91,Alice Springs,-23.7,133.8833,60.35,63,90,13.8,AU,2021-10-30 17:20:36
92,Husavik,66.0449,-17.3389,39.11,92,100,11.63,IS,2021-10-30 17:20:36
93,Cherskiy,68.75,161.3,-4.05,99,100,4.85,RU,2021-10-30 17:20:36
94,Bambous Virieux,-20.3428,57.7575,73.65,78,40,4.61,MU,2021-10-30 17:20:37
95,Vestmanna,62.1564,-7.1664,45.52,93,90,4.61,FO,2021-10-30 17:21:37
96,Amuntai,-2.4177,115.2494,72.54,97,95,0.69,ID,2021-10-30 17:21:37
97,Moose Factory,51.2585,-80.6094,44.6,93,90,4.61,CA,2021-10-30 17:21:38
98,Provideniya,64.3833,-173.3,12.34,86,95,12.12,RU,2021-10-30 17:21:38
99,Port-Gentil,-0.7193,8.7815,82.36,78,40,14.97,GA,2021-10-30 17:21:38
100,Kirakira,-10.4544,161.9205,81.36,75,98,11.14,SB,2021-10-30 17:21:39
101,Codrington,-38.2667,141.9667,42.03,94,1,7.76,AU,2021-10-30 17:21:39
102,Carnarvon,-24.8667,113.6333,68.07,68,0,18.41,AU,2021-10-30 17:21:39
103,Garowe,8.4054,48.4845,77.81,56,46,19.37,SO,2021-10-30 17:21:40
104,Naze,28.3667,129.4833,67.84,76,7,6.62,JP,2021-10-30 17:16:47
105,Kokopo,-4.352,152.2633,77.38,84,71,6.87,PG,2021-10-30 17:21:40
106,Prince Rupert,54.3161,-130.3201,44.29,75,100,14.97,CA,2021-10-30 17:16:49
107,Kieta,-6.2167,155.6333,78.66,83,90,4.21,PG,2021-10-30 17:21:40
108,Port Alfred,-33.5906,26.891,65.19,87,6,12.62,ZA,2021-10-30 17:21:41
109,Kaitangata,-46.2817,169.8464,49.23,74,73,5.46,NZ,2021-10-30 17:21:41
110,Khatanga,71.9667,102.5,-0.49,97,99,2.06,RU,2021-10-30 17:21:41
111,Kidal,18.4411,1.4078,95.65,10,49,7.76,ML,2021-10-30 17:21:42
112,Oranjemund,-28.55,16.4333,63.72,80,4,14.16,NA,2021-10-30 17:21:42
113,Samarai,-10.6167,150.6667,81.37,82,35,10.09,PG,2021-10-30 17:21:42
114,Jiayuguan,39.8167,98.3,39.74,40,0,5.21,CN,2021-10-30 17:21:43
115,Georgetown,5.4112,100.3354,77.9,94,40,2.3,MY,2021-10-30 17:21:43
116,Nyurba,63.2842,118.3319,21.06,87,100,8.55,RU,2021-10-30 17:21:43
117,Saskylakh,71.9167,114.0833,8.04,92,100,10.45,RU,2021-10-30 17:21:44
118,Kalanguy,51.0167,116.5167,21.85,45,7,2.53,RU,2021-10-30 17:21:44
119,Marawi,7.9986,124.2928,66.65,95,62,0.98,PH,2021-10-30 17:21:44
120,Avarua,-21.2078,-159.775,71.65,73,100,11.5,CK,2021-10-30 17:21:45
121,Kerema,-7.9631,145.7785,76.95,84,98,3.69,PG,2021-10-30 17:21:45
122,Makushino,55.2103,67.2442,31.59,98,100,14.94,RU,2021-10-30 17:21:46
123,Barrancabermeja,7.0653,-73.8547,90.23,52,90,1.7,CO,2021-10-30 17:21:46
124,Dwarka,22.2394,68.9678,81.72,47,45,7.65,IN,2021-10-30 17:21:46
125,Scarborough,54.2797,-0.4044,50.54,83,33,3.0,GB,2021-10-30 17:18:40
126,Mujiayingzi,42.1167,118.7833,37.08,96,100,5.75,CN,2021-10-30 17:21:47
127,Xai-Xai,-25.0519,33.6442,71.06,81,27,14.09,MZ,2021-10-30 17:21:47
128,Caravelas,-17.7125,-39.2481,81.99,61,42,9.93,BR,2021-10-30 17:21:47
129,Santa Helena,-2.2311,-45.3,83.75,76,82,3.56,BR,2021-10-30 17:21:48
130,Den Helder,52.9599,4.7593,55.98,89,90,15.01,NL,2021-10-30 17:21:48
131,Vila Franca Do Campo,37.7167,-25.4333,74.19,93,93,16.06,PT,2021-10-30 17:21:48
132,Petauke,-14.2426,31.3253,81.75,18,6,4.21,ZM,2021-10-30 17:21:49
133,Kruisfontein,-34.0033,24.7314,59.88,88,2,5.61,ZA,2021-10-30 17:21:49
134,Poum,-20.2333,164.0167,74.35,75,10,4.47,NC,2021-10-30 17:21:49
135,Labrea,-7.2586,-64.7981,95.77,38,70,3.0,BR,2021-10-30 17:21:50
136,Xunchang,28.4543,104.715,59.22,88,100,1.45,CN,2021-10-30 17:21:50
137,Nome,64.5011,-165.4064,8.67,78,1,3.44,US,2021-10-30 17:21:50
138,Waddan,29.1614,16.139,74.1,29,31,7.78,LY,2021-10-30 17:21:51
139,Tiksi,71.6872,128.8694,-2.87,97,100,6.62,RU,2021-10-30 17:21:51
140,Atuona,-9.8,-139.0333,77.43,69,16,17.05,PF,2021-10-30 17:21:48
141,Ginda,30.6945,78.4932,49.71,47,0,6.04,IN,2021-10-30 17:22:51
142,Aswan,24.0934,32.907,94.3,21,0,10.36,EG,2021-10-30 17:22:52
143,Kamaishi,39.2667,141.8833,52.16,80,94,6.51,JP,2021-10-30 17:22:52
144,Sorong,-0.8833,131.25,78.76,85,70,5.21,ID,2021-10-30 17:22:52
145,Lodja,-3.4833,23.4333,74.71,75,100,3.11,CD,2021-10-30 17:22:53
146,Horizontina,-27.6258,-54.3078,82.26,60,100,1.45,BR,2021-10-30 17:22:51
147,Zambezi,-13.5432,23.1047,77.05,50,83,4.18,ZM,2021-10-30 17:22:53
148,Klaksvik,62.2266,-6.589,47.32,89,100,15.46,FO,2021-10-30 17:22:53
149,Abu Samrah,35.3029,37.1841,72.64,34,100,5.86,SY,2021-10-30 17:22:54
150,Kavieng,-2.5744,150.7967,82.96,75,50,13.18,PG,2021-10-30 17:22:54
151,Port Hedland,-20.3167,118.5667,69.85,88,0,4.61,AU,2021-10-30 17:22:54
152,Geraldton,-28.7667,114.6,55.13,87,0,6.91,AU,2021-10-30 17:22:55
153,Luderitz,-26.6481,15.1594,64.06,77,1,8.75,NA,2021-10-30 17:22:55
154,Hervey Bay,-25.2986,152.8535,75.31,86,60,7.56,AU,2021-10-30 17:22:55
155,Homer,59.6425,-151.5483,46.29,83,90,18.41,US,2021-10-30 17:22:56
156,Vuktyl,63.8567,57.3094,13.5,97,70,1.79,RU,2021-10-30 17:22:56
157,Necochea,-38.5473,-58.7368,62.04,69,71,23.76,AR,2021-10-30 17:22:57
158,Ciudad Bolivar,8.1222,-63.5497,88.07,55,67,5.37,VE,2021-10-30 17:22:57
159,Longyearbyen,78.2186,15.6401,17.44,86,20,10.36,SJ,2021-10-30 17:22:17
160,Castro,-24.7911,-50.0119,72.75,68,65,7.18,BR,2021-10-30 17:22:57
161,Constitucion,-35.3333,-72.4167,66.65,58,100,14.2,CL,2021-10-30 17:22:08
162,Taoudenni,22.6783,-3.9836,93.67,19,55,2.51,ML,2021-10-30 17:22:58
163,Bengkulu,-3.8004,102.2655,76.95,91,100,4.61,ID,2021-10-30 17:22:12
164,Severo-Kurilsk,50.6789,156.125,39.25,82,8,13.82,RU,2021-10-30 17:22:58
165,Matamoros,25.5333,-103.25,73.15,15,0,1.7,MX,2021-10-30 17:22:58
166,Mocuba,-16.8392,36.9856,74.41,55,1,9.01,MZ,2021-10-30 17:22:59
167,Komsomolskiy,40.4272,71.7189,45.82,61,23,6.91,UZ,2021-10-30 17:22:59
168,Bathsheba,13.2167,-59.5167,86.61,62,20,16.11,BB,2021-10-30 17:22:30
169,Acurenam,1.0322,10.6488,70.95,95,100,3.83,GQ,2021-10-30 17:23:00
170,Nikolskoye,59.7035,30.7861,45.01,92,74,6.91,RU,2021-10-30 17:23:00
171,Correntina,-13.3433,-44.6367,94.69,25,19,6.42,BR,2021-10-30 17:23:00
172,Chuy,-33.6971,-53.4616,72.32,72,99,13.04,UY,2021-10-30 17:22:58
173,Dawlatabad,36.4141,64.9053,57.72,37,43,3.49,AF,2021-10-30 17:23:01
174,Peterhead,57.5058,-1.7981,48.11,87,100,10.11,GB,2021-10-30 17:23:01
175,Amapa,1.0,-52.0,84.34,68,42,3.2,BR,2021-10-30 17:23:02
176,Harer,9.3094,42.1258,59.36,58,26,7.25,ET,2021-10-30 17:23:02
177,Yarada,17.65,83.2667,80.92,89,20,2.3,IN,2021-10-30 17:22:52
178,Karaj,35.8355,51.0103,57.72,58,75,16.11,IR,2021-10-30 17:23:03
179,Yumen,40.2833,97.2,40.53,39,8,7.25,CN,2021-10-30 17:23:03
180,Lavrentiya,65.5833,-171.0,10.13,76,63,5.7,RU,2021-10-30 17:23:03
181,Chihuahua,28.5,-106.0,70.27,26,0,2.17,MX,2021-10-30 17:23:04
182,Bowen,-20.0167,148.2333,77.54,83,9,4.99,AU,2021-10-30 17:23:05
183,San Patricio,28.017,-97.5169,78.89,18,0,4.99,US,2021-10-30 17:23:05
184,Pierre,44.3683,-100.351,56.32,71,75,4.0,US,2021-10-30 17:18:08
185,Boa Vista,2.8197,-60.6733,93.18,43,40,5.75,BR,2021-10-30 17:23:05
186,Mahebourg,-20.4081,57.7,73.69,78,40,4.61,MU,2021-10-30 17:22:41
187,Karratha,-20.7377,116.8463,72.91,67,0,7.0,AU,2021-10-30 17:24:06
188,Bethel,41.3712,-73.414,63.01,93,90,8.05,US,2021-10-30 17:21:33
189,La Cruz,23.9167,-106.9,86.47,73,0,1.99,MX,2021-10-30 17:24:06
190,Lipin Bor,60.2622,37.9763,43.16,89,100,7.47,RU,2021-10-30 17:24:07
191,Magaria,12.9983,8.9099,90.32,14,9,7.2,NE,2021-10-30 17:24:07
192,Liku,-0.7275,119.8922,74.25,94,92,1.39,ID,2021-10-30 17:24:07
193,Bandarbeyla,9.4942,50.8122,79.57,77,17,13.27,SO,2021-10-30 17:23:30
194,Yulara,-25.2406,130.9889,58.84,88,100,5.75,AU,2021-10-30 17:24:08
195,Honiara,-9.4333,159.95,77.77,87,44,6.15,SB,2021-10-30 17:24:08
196,Victoria,22.2855,114.1577,76.32,83,73,1.01,HK,2021-10-30 17:19:20
197,Ygatimi,-24.0833,-55.5,77.68,92,100,0.81,PY,2021-10-30 17:24:08
198,Sao Joao Da Barra,-21.6403,-41.0511,75.29,80,100,14.79,BR,2021-10-30 17:20:58
199,Le Passage,44.2014,0.6028,65.55,94,0,4.61,FR,2021-10-30 17:24:09
200,Srandakan,-7.9386,110.2506,78.08,90,100,3.47,ID,2021-10-30 17:24:09
201,Cabo San Lucas,22.8909,-109.9124,85.6,61,1,3.44,MX,2021-10-30 17:24:09
202,Margate,51.3813,1.3862,54.3,78,93,1.99,GB,2021-10-30 17:24:10
203,Chokurdakh,70.6333,147.9167,-5.58,98,99,6.17,RU,2021-10-30 17:24:10
204,Luanda,-8.8368,13.2343,78.8,78,40,10.36,AO,2021-10-30 17:19:58
205,Dothan,31.2232,-85.3905,63.64,72,90,1.99,US,2021-10-30 17:24:11
206,Sterling,39.0062,-77.4286,63.41,76,75,8.99,US,2021-10-30 17:19:54
207,Maniitsoq,65.4167,-52.9,36.01,85,100,25.57,GL,2021-10-30 17:24:11
208,Gurupa,-1.405,-51.64,91.02,48,84,3.27,BR,2021-10-30 17:24:11
209,Pangnirtung,66.1451,-65.7125,37.4,81,90,16.11,CA,2021-10-30 17:24:12
210,Cayenne,4.9333,-52.3333,89.64,74,74,7.0,GF,2021-10-30 17:22:42
211,Ancud,-41.8697,-73.8203,58.53,47,0,3.89,CL,2021-10-30 17:22:18
212,Imeni Poliny Osipenko,52.4201,136.4853,25.12,86,26,5.21,RU,2021-10-30 17:24:12
213,Sitka,57.0531,-135.33,46.29,66,75,16.11,US,2021-10-30 17:23:10
214,Thinadhoo,0.5333,72.9333,83.3,76,68,14.81,MV,2021-10-30 17:24:13
215,Kahului,20.8947,-156.47,74.84,81,1,5.75,US,2021-10-30 17:19:35
216,Haapiti,-17.5667,-149.8667,76.73,73,9,17.74,PF,2021-10-30 17:24:13
217,Morro Da Fumaca,-28.6508,-49.21,67.12,90,100,8.16,BR,2021-10-30 17:24:13
218,Natitingou,10.3042,1.3796,84.25,32,100,3.94,BJ,2021-10-30 17:24:14
219,Dok Kham Tai,19.1624,99.9934,71.02,97,69,0.51,TH,2021-10-30 17:24:14
220,Aripuana,-9.1667,-60.6333,97.52,33,39,2.8,BR,2021-10-30 17:24:15
221,Tudela,42.0617,-1.6045,65.3,73,98,4.94,ES,2021-10-30 17:24:15
222,Anadyr,64.75,177.4833,3.7,84,75,13.0,RU,2021-10-30 17:24:16
223,Leshukonskoye,64.8989,45.7622,28.18,99,100,3.02,RU,2021-10-30 17:24:16
224,Hlotse,-28.8718,28.045,58.48,42,0,6.96,LS,2021-10-30 17:24:16
225,Severo-Yeniseyskiy,60.3725,93.0408,15.98,81,100,12.77,RU,2021-10-30 17:24:17
226,Datong,40.0936,113.2914,39.7,50,81,12.01,CN,2021-10-30 17:24:17
227,Frolovo,49.7713,43.6622,44.55,63,41,4.47,RU,2021-10-30 17:24:17
228,Fort Oglethorpe,34.949,-85.2569,56.86,92,90,5.75,US,2021-10-30 17:24:18
229,Bubaque,11.2833,-15.8333,75.9,85,100,2.13,GW,2021-10-30 17:24:18
230,Te Anau,-45.4167,167.7167,46.53,93,80,7.85,NZ,2021-10-30 17:24:19
231,Nicoya,10.1483,-85.452,81.95,83,100,2.17,CR,2021-10-30 17:24:19
232,Ngawen,-7.0032,111.3129,78.57,85,100,2.53,ID,2021-10-30 17:25:19
233,Yar-Sale,66.8333,70.8333,11.7,89,100,18.72,RU,2021-10-30 17:25:20
234,Broome,42.2506,-75.833,55.71,80,90,1.99,US,2021-10-30 17:24:19
235,Seoul,37.5683,126.9778,51.24,90,0,2.3,KR,2021-10-30 17:25:20
236,Ribeira Grande,38.5167,-28.7,70.2,88,75,23.02,PT,2021-10-30 17:22:10
237,Richards Bay,-28.783,32.0377,65.34,83,98,10.31,ZA,2021-10-30 17:25:21
238,Pasan,22.85,82.2,62.2,58,74,2.64,IN,2021-10-30 17:25:21
239,Visnes,59.3556,5.2242,57.09,62,75,16.11,NO,2021-10-30 17:25:21
240,Kastamonu,41.5,33.6667,43.25,74,0,2.93,TR,2021-10-30 17:25:22
241,Hamilton,39.1834,-84.5333,57.11,96,90,1.01,US,2021-10-30 17:22:47
242,Abha,18.2164,42.5053,66.45,22,0,9.22,SA,2021-10-30 17:25:22
243,Saldanha,-33.0117,17.9442,66.25,83,71,16.87,ZA,2021-10-30 17:22:05
244,Tuatapere,-46.1333,167.6833,48.76,81,64,8.81,NZ,2021-10-30 17:25:23
245,Pandan,14.0453,124.1694,80.64,72,88,14.05,PH,2021-10-30 17:25:23
246,Russellville,35.2784,-93.1338,62.2,62,1,10.36,US,2021-10-30 17:20:54
247,Limoeiro Do Ajuru,-1.8953,-49.3806,89.55,55,64,6.33,BR,2021-10-30 17:25:23
248,Valle De Allende,26.9333,-105.4,72.18,23,0,2.26,MX,2021-10-30 17:25:24
249,Dongsheng,39.8161,109.9776,33.64,47,3,10.16,CN,2021-10-30 17:25:24
250,San Cristobal,7.7669,-72.225,78.98,81,100,4.03,VE,2021-10-30 17:25:24
251,Xining,36.6167,101.7667,36.86,59,98,2.48,CN,2021-10-30 17:25:25
252,Poya,-21.35,165.15,70.25,84,1,2.3,NC,2021-10-30 17:25:25
253,Esna,25.2934,32.554,86.02,18,84,7.52,EG,2021-10-30 17:25:25
254,Talnakh,69.4865,88.3972,18.05,96,100,2.75,RU,2021-10-30 17:25:26
255,Chimbote,-9.0853,-78.5783,67.33,75,90,7.74,PE,2021-10-30 17:23:20
256,Harper,4.375,-7.7169,79.36,81,100,7.14,LR,2021-10-30 17:25:26
257,Shingu,33.7333,135.9833,60.48,85,96,5.75,JP,2021-10-30 17:25:27
258,Ilulissat,69.2167,-51.1,33.82,75,75,8.05,GL,2021-10-30 17:25:27
259,Faanui,-16.4833,-151.75,78.39,69,15,17.49,PF,2021-10-30 17:25:27
260,Podstepki,53.5151,49.1355,45.25,90,48,8.79,RU,2021-10-30 17:25:28
261,Ocampo,21.65,-101.5,66.09,34,4,1.81,MX,2021-10-30 17:25:28
262,Yiyang,28.5892,112.3283,62.24,72,12,2.06,CN,2021-10-30 17:25:28
263,Quesnel,52.9999,-122.5029,23.5,93,1,0.0,CA,2021-10-30 17:21:40
264,Abnub,27.2696,31.1511,86.22,26,100,5.82,EG,2021-10-30 17:25:29
265,Falcoiu,44.2333,24.3667,52.32,72,0,8.23,RO,2021-10-30 17:25:29
266,Port Victoria,0.0939,33.9756,70.66,78,97,12.73,KE,2021-10-30 17:25:30
267,Kangaatsiaq,68.3065,-53.4641,30.04,83,100,12.44,GL,2021-10-30 17:25:30
268,Prieta,15.5833,-86.1833,74.62,96,93,2.17,HN,2021-10-30 17:25:30
269,Kavaratti,10.5669,72.642,82.26,69,98,0.87,IN,2021-10-30 17:25:30
270,Lompoc,34.6391,-120.4579,59.92,89,90,5.75,US,2021-10-30 17:24:59
271,Maridi,4.9158,29.4742,68.52,95,88,2.44,SS,2021-10-30 17:25:31
272,Tuensang,26.2833,94.8333,62.02,91,67,2.53,IN,2021-10-30 17:25:31
273,Luwuk,-0.9516,122.7875,77.14,87,68,3.22,ID,2021-10-30 17:25:32
274,Cocobeach,1.0002,9.5823,78.73,83,100,8.57,GA,2021-10-30 17:25:32
275,Pevek,69.7008,170.3133,1.35,94,100,8.01,RU,2021-10-30 17:26:32
276,Wegorzewo,54.2157,21.7372,51.44,62,2,14.34,PL,2021-10-30 17:26:33
277,Gat,31.61,34.7642,74.39,62,49,5.28,IL,2021-10-30 17:24:54
278,Saint-Louis,16.3333,-15.0,96.44,21,59,14.23,SN,2021-10-30 17:26:33
279,Naryan-Mar,67.6713,53.087,16.29,86,99,8.5,RU,2021-10-30 17:26:33
